ID,SMILES
ISME65-R3,CN(CC/C=C1C2=CC=CC=C2COC3=CC=CC=C\13)C
ISME65-R8,CC(C(O)=O)(C)CN1CCN(CC1)C2=NC3=CC=C(C)C=C3OC4=C2C=C(Cl)S4
ISME65-070101,CN(CC/C=C1C2=CC=CC=C2CSC3=CC=CC=C\13)C
ISME65-070102,CN(C(CCC1)CN1[C@H]2C3=CC=CC=C3CSC4=CC=CC=C24)C
ISME65-070103,CN(C(CCC1=O)CN1[C@H]2C3=CC=CC=C3CSC4=CC=CC=C24)C
ISME65-070104,CN(C)C(CC1)CCN1[C@H]2C3=CC=CC=C3CSC4=CC=CC=C24
ISME65-070105,O=C1CC(N(C)C)CCN1[C@H]2C3=CC=CC=C3CSC4=CC=CC=C24
ISME65-070106,CC(C(N)=O)(C)CN1CCN(CC1)C2=NC3=CC=C(C)C=C3OC4=C2C=C(Cl)S4
ISME65-070107,C[C@@](C1=O)(CCN1)CN2CCN(CC2)C3=NC4=CC=C(C)C=C4OC5=C3C=C(Cl)S5
ISME65-070108,CC(C1=NC=CC=N1)(C)CN2CCN(CC2)C3=NC4=CC=C(C)C=C4OC5=C3C=C(Cl)S5
ISME65-070109,ClC1=CC2=C(S1)OC3=CC(C)=CC=C3N=C2N4CCN(CC(C)(C)C5=NN=NN5)CC4
ISME65-R3,CN(CC/C=C1C2=CC=CC=C2COC3=CC=CC=C\13)C
ISME65-R8,CC(C(O)=O)(C)CN1CCN(CC1)C2=NC3=CC=C(C)C=C3OC4=C2C=C(Cl)S4
ISME65-070101,CN(CC/C=C1C2=CC=CC=C2CSC3=CC=CC=C\13)C
ISME65-070102,CN(C(CCC1)CN1[C@H]2C3=CC=CC=C3CSC4=CC=CC=C24)C
ISME65-070103,CN(C(CCC1=O)CN1[C@H]2C3=CC=CC=C3CSC4=CC=CC=C24)C
ISME65-070104,CN(C)C(CC1)CCN1[C@H]2C3=CC=CC=C3CSC4=CC=CC=C24
ISME65-070105,O=C1CC(N(C)C)CCN1[C@H]2C3=CC=CC=C3CSC4=CC=CC=C24
ISME65-070106,CC(C(N)=O)(C)CN1CCN(CC1)C2=NC3=CC=C(C)C=C3OC4=C2C=C(Cl)S4
ISME65-070107,C[C@@](C1=O)(CCN1)CN2CCN(CC2)C3=NC4=CC=C(C)C=C4OC5=C3C=C(Cl)S5
ISME65-070108,CC(C1=NC=CC=N1)(C)CN2CCN(CC2)C3=NC4=CC=C(C)C=C4OC5=C3C=C(Cl)S5
ISME65-070109,ClC1=CC2=C(S1)OC3=CC(C)=CC=C3N=C2N4CCN(CC(C)(C)C5=NN=NN5)CC4
